name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Green Samsung Galaxy A03 Core Mobile Phone ,16/05/23,False,,12499.0,12499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127287261_NP-1034502357,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,2,Glass,2021,Not Specified,Not Specified,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Itel Vision 3 4GB RAM,16/05/23,False,,15500.0,15500.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125345782_NP-1034020826,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Black  SAMSUNG A04e ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127288248_NP-1034514183,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Copper Samsung Galaxy F13 I RAM,16/05/23,False,,23999.0,23999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127277589_NP-1034513391,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Infinix SMART 6 ,16/05/23,False,,11999.0,11999.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,119520397_NP-1032715200,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,5,2,Not Specified,2022,4G,,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,119558393_NP-1032723383,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,48,4,Not Specified,2022,4G,15W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel Vison 3,16/05/23,False,,12490.0,12490.0,0.0,"[0, 0, 0, 0, 0]",,Itel,124836390_NP-1033911683,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 mp,8mp,3,Glass,2023,4G,yes 18 watt fast charging,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Rear,Yes,Dedicated,HD,Android 11,Yes,,Yes,IPS LCD,Octa-core,Not Specified,,
Samsung Galaxy M33 5G ,16/05/23,False,,35999.0,35999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126328794_NP-1034221880,6000 - 6999 mAh,6.6 - 7 Inch,Not Specified,8MP,50MP,4,Not Specified,2022,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Blue SAMSUNG A04e ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127279587_NP-1034511339,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,3,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Samsung M32 ,16/05/23,False,,28999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118951746_NP-1032572858,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,20,64,5,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Hot 10i  2GB RAM ,16/05/23,False,,13899.0,13899.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,108675165_NP-1029349627,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,8 MP,13 MP,2,Glass,2021,3G,Not Specified,Not Specified,2,200-300 PPI,,,,,,,,,,,,,Full HD,Android 11,Yes,Hot 10i,Yes,IPS LCD,Not Specified,,Full HD,
Samsung Galaxy A33 5G ,16/05/23,False,,42999.0,42999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126923301_NP-1034431041,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,13,48,4,Not Specified,2023,"4G,3G,2G,5G",Yes,Yes,2,,,,,,,,,,,,,,,,,,,,,,,Bill and warranty card is needed for warranty
Realme Narzo  50A ,16/05/23,False,,21199.0,21199.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,118949923_NP-1032578078,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,8,50,4,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oneplus Nord 2 5G ,16/05/23,False,,59999.0,59999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,125768979_NP-1034095363,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,32,50,4,Corning Gorilla Glass 5,2022,"4G,GSM,5G",65W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,On-Screen,No,,2160p,Android,Yes,ONEPLUS NORD 2 5G,No,AMOLED,Octa-core,90 Hz,"HD,Full HD,4K",
Samsung Galaxy A03S Mobile ,16/05/23,False,,15999.0,15999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,108007337_NP-1032155157,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5 MP,13 MP,3,Not Specified,2021,3G,Yes,No,2,200-300 PPI,,,,,,,,,,Side Mounted,,Dedicated,Full HD,Android,Not Specified,Galaxy A03S,Yes,IPS LCD,Not Specified,,HD,
Samsung Galaxy A04e ,16/05/23,False,,13500.0,13500.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126327167_NP-1034228631,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,13MP,2,Not Specified,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Symphony ,16/05/23,False,,12199.0,12199.0,0.0,"[0, 0, 0, 0, 0]",,Symphony,112483813_NP-1030436425,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8,13,2,Not Specified,Not Specified,"4G,3G,2G",10w,No,2,,,,,,,,,,,,,,,,,,,,,,,
Nokia C20 2GB Ram 32GB Rom 3000mah Battery Android 11,16/05/23,True,-0%,11000.0,10999.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,114481426_NP-1031094202,3000 - 3999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,5MP,2,Not Specified,Not Specified,4G,5w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A03 Core  2GB RAM ,16/05/23,False,,12499.0,12499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,111438328_NP-1030189520,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,8,1,Not Specified,2022,Not Specified,Not Specified,Not Specified,2,200-300 PPI,,Yes,Yes,Yes,Nano,No,Yes,,No,No Fingerprint Sensor,Yes,Dedicated,Full HD,Android 11,Yes,A03 Core,Yes,,Not Specified,,,
Realme C21Y Mobile,16/05/23,False,,17999.0,17999.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,108161713_NP-1032154289,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5 MP,17 MP,3,Glass,2021,"4G,GSM,3G,2G",Yes,No,2,200-300 PPI,,,,,,,,,,,,,1080p,,Not Specified,C21Y,Yes,IPS LCD,Octa-core,,HD,
Samsung Galaxy A04 ,16/05/23,False,,15000.0,15000.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126326542_NP-1034230375,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,50MP,2,Not Specified,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel vision 3,16/05/23,False,,12490.0,12490.0,0.0,"[0, 0, 0, 0, 0]",,Itel,126107113_NP-1034160144,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5 mp,8mp,3,Glass,2022,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,False,,21990.0,21990.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,119552842_NP-1032718777,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,50,4,Not Specified,2022,4G,14W,No,2,,,,,,,,,,,,,,,,,,,,,,,
